Row Type,Action,Ad group status,Keyword status,Ad status,Level,Campaign ID,Campaign,Ad group ID,Ad group,Ad group type,Keyword,Negative keyword,Type,Ad type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL
Ad group,Add,Enabled,,,,24249319399,Lissom søk,,Keramikkurs,Standard,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Enabled,,,24249319399,Lissom søk,,Keramikkurs,,keramikkurs,,Phrase match,,,,,,,,,,,,,,,,,,
Keyword,Add,,Enabled,,,24249319399,Lissom søk,,Keramikkurs,,keramikk kurs,,Phrase match,,,,,,,,,,,,,,,,,,
Keyword,Add,,Enabled,,,24249319399,Lissom søk,,Keramikkurs,,kurs i keramikk,,Phrase match,,,,,,,,,,,,,,,,,,
Keyword,Add,,Enabled,,,24249319399,Lissom søk,,Keramikkurs,,keramikk kurs tønsberg,,Phrase match,,,,,,,,,,,,,,,,,,
Keyword,Add,,Enabled,,,24249319399,Lissom søk,,Keramikkurs,,keramikkurs tønsberg,,Phrase match,,,,,,,,,,,,,,,,,,
Keyword,Add,,Enabled,,,24249319399,Lissom søk,,Keramikkurs,,keramikk kurs vestfold,,Phrase match,,,,,,,,,,,,,,,,,,
Keyword,Add,,Enabled,,,24249319399,Lissom søk,,Keramikkurs,,keramikkurs vestfold,,Phrase match,,,,,,,,,,,,,,,,,,
Keyword,Add,,Enabled,,,24249319399,Lissom søk,,Keramikkurs,,keramikk tønsberg,,Phrase match,,,,,,,,,,,,,,,,,,
Keyword,Add,,Enabled,,,24249319399,Lissom søk,,Keramikkurs,,keramikk kurs nybegynner,,Phrase match,,,,,,,,,,,,,,,,,,
Keyword,Edit,,Paused,,,24249319399,Lissom søk,,Dreiekurs,,keramikkurs,,Phrase match,,,,,,,,,,,,,,,,,,
Keyword,Edit,,Paused,,,24249319399,Lissom søk,,Dreiekurs,,keramikk kurs tønsberg,,Phrase match,,,,,,,,,,,,,,,,,,
Keyword,Edit,,Paused,,,24249319399,Lissom søk,,Dreiekurs,,keramikk kurs vestfold,,Phrase match,,,,,,,,,,,,,,,,,,
Keyword,Edit,,Paused,,,24249319399,Lissom søk,,Dreiekurs,,keramikkurs vestfold,,Phrase match,,,,,,,,,,,,,,,,,,
Keyword,Edit,,Paused,,,24249319399,Lissom søk,,Dreiekurs,,keramikk kurs nybegynner,,Phrase match,,,,,,,,,,,,,,,,,,
Keyword,Edit,,Paused,,,24249319399,Lissom søk,,Paint on Pots,,paint on pots,,Phrase match,,,,,,,,,,,,,,,,,,
Keyword,Add,,Enabled,,,24249319399,Lissom søk,,Paint on Pots,,male på keramikk,,Phrase match,,,,,,,,,,,,,,,,,,
Keyword,Add,,Enabled,,,24249319399,Lissom søk,,Paint on Pots,,male keramikk,,Phrase match,,,,,,,,,,,,,,,,,,
Keyword,Add,,Enabled,,,24249319399,Lissom søk,,Paint on Pots,,mal din egen keramikk,,Phrase match,,,,,,,,,,,,,,,,,,
Keyword,Add,,Enabled,,,24249319399,Lissom søk,,Paint on Pots,,male på keramikk tønsberg,,Phrase match,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,Enabled,,Campaign,24249319399,Lissom søk,,,,,sagene,Phrase match,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,Enabled,,Campaign,24249319399,Lissom søk,,,,,shots and pots,Phrase match,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,Enabled,,Campaign,24249319399,Lissom søk,,,,,liv i leire,Phrase match,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,Enabled,,Campaign,24249319399,Lissom søk,,,,,kjærgaard,Phrase match,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,Enabled,,Campaign,24249319399,Lissom søk,,,,,keramikk kollektivet,Phrase match,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,Enabled,,Campaign,24249319399,Lissom søk,,,,,selvherdende,Phrase match,,,,,,,,,,,,,,,,,,
Negative keyword,Add,,Enabled,,Campaign,24249319399,Lissom søk,,,,,retreat,Phrase match,,,,,,,,,,,,,,,,,,
Ad,Add,,,Enabled,,24249319399,Lissom søk,,Keramikkurs,,,,,Responsive search ad,Keramikkurs i Tønsberg,Keramikkurs på Teie,Nybegynnere velkommen,Dreiekurs og håndbygging,Leire og brenning inkludert,Book med Vipps i dag,"Små grupper, god veiledning",Kveldskurs og helgekurs,Lag din egen keramikk,Keramikkurs i Vestfold,"Keramikkurs for nybegynnere på Teie ved Tønsberg. Leire, verktøy og brenning er med.",Dreiekurs over to kvelder eller håndbygging på én kveld. Små grupper og god veiledning.,Kveldskurs i uka og helgekurs hver måned. Se ledige datoer og book plassen med Vipps.,Fem minutter fra Tønsberg sentrum med gratis parkering. Nordre Løkkevei 15 på Teie.,keramikkurs,tonsberg,https://lissom.no/kurs
