Row Type,Action,Ad group status,Keyword status,Ad status,Level,Campaign ID,Campaign,Ad group ID,Ad group,Ad group type,Keyword,Negative keyword,Type,Ad type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL
Ad group,Add,Enabled,,,,24249319399,Lissom søk,,Dreiekurs,Standard,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Enabled,,,24249319399,Lissom søk,,Dreiekurs,,dreiekurs,,Phrase match,,,,,,,,,,,,,,,,,,
Keyword,Add,,Enabled,,,24249319399,Lissom søk,,Dreiekurs,,dreiekurs tønsberg,,Phrase match,,,,,,,,,,,,,,,,,,
Keyword,Add,,Enabled,,,24249319399,Lissom søk,,Dreiekurs,,dreiekurs vestfold,,Phrase match,,,,,,,,,,,,,,,,,,
Keyword,Add,,Enabled,,,24249319399,Lissom søk,,Dreiekurs,,dreiekurs keramikk,,Phrase match,,,,,,,,,,,,,,,,,,
Keyword,Add,,Enabled,,,24249319399,Lissom søk,,Dreiekurs,,keramikkurs,,Phrase match,,,,,,,,,,,,,,,,,,
Keyword,Add,,Enabled,,,24249319399,Lissom søk,,Dreiekurs,,keramikk kurs tønsberg,,Phrase match,,,,,,,,,,,,,,,,,,
Keyword,Add,,Enabled,,,24249319399,Lissom søk,,Dreiekurs,,keramikk kurs vestfold,,Phrase match,,,,,,,,,,,,,,,,,,
Keyword,Add,,Enabled,,,24249319399,Lissom søk,,Dreiekurs,,keramikkurs vestfold,,Phrase match,,,,,,,,,,,,,,,,,,
Keyword,Add,,Enabled,,,24249319399,Lissom søk,,Dreiekurs,,keramikk kurs nybegynner,,Phrase match,,,,,,,,,,,,,,,,,,
Keyword,Add,,Enabled,,,24249319399,Lissom søk,,Dreiekurs,,pottery class tønsberg,,Phrase match,,,,,,,,,,,,,,,,,,
Keyword,Add,,Enabled,,,24249319399,Lissom søk,,Dreiekurs,,lære å dreie,,Phrase match,,,,,,,,,,,,,,,,,,
Ad,Add,,,Enabled,,24249319399,Lissom søk,,Dreiekurs,,,,,Responsive search ad,Dreiekurs i Tønsberg,To kvelder ved dreieskiva,Nybegynnere velkommen,Alt utstyr inkludert,Fra leireklump til ferdig kopp,Book med Vipps i dag,Små grupper – god oppfølging,Keramikkurs på Teie,Lær å dreie hos Lissom,Dreiekurs i Vestfold,"Lær å dreie i rolige omgivelser på Teie ved Tønsberg. Leire, verktøy og brenning er med.",Kveld én: sentrere og dreie. Kveld to: trimme foten og dekorere. Vi glaserer og brenner.,Ingen forkunnskaper. Små grupper med veiledning hele veien. Se datoer og book med Vipps.,Fem minutter fra Tønsberg sentrum med gratis parkering. Nordre Løkkevei 15 på Teie.,dreiekurs,tonsberg,https://lissom.no/kurs/dreiekurs
Ad group,Add,Enabled,,,,24249319399,Lissom søk,,Plateteknikk og håndbygging,Standard,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Enabled,,,24249319399,Lissom søk,,Plateteknikk og håndbygging,,plateteknikk kurs,,Phrase match,,,,,,,,,,,,,,,,,,
Keyword,Add,,Enabled,,,24249319399,Lissom søk,,Plateteknikk og håndbygging,,plateteknikk keramikk,,Phrase match,,,,,,,,,,,,,,,,,,
